Datum,Wochentag,Kursname,Lernart,Thema / Inhalt,Startzeit,Endzeit,Dauer (h),Lernmodus / Quelle,Beschreibung,Created_at
2025-10-12,Sonntag,Projekt,Selbststudium,Zeierfassung,2025-10-12T11:00:00,2025-10-12T12:45:00,1.75,Python,,2025-10-12T12:33:36.090948
2025-10-12,Sonntag,Projekt,Selbststudium,"GitHub, streamlit",2025-10-12T12:30:00,2025-10-12T13:30:00,1.0,Python,,2025-10-12T13:17:06.498307
2025-10-12,Sonntag,ScrumPO,Selbststudium,,2025-10-12T16:30:00,2025-10-12T18:00:00,1.5,Udemy,,2025-10-12T16:47:13.422645
2025-10-13,Montag,ETL,Theorie-Video,,2025-10-13T08:30:00,2025-10-13T09:00:00,0.5,DSI,,2025-10-13T10:24:13.750578
2025-10-13,Montag,Excel,Live-Call-Hausaufgaben,,2025-10-13T09:15:00,2025-10-13T10:15:00,1.0,DSI,,2025-10-13T10:24:37.025429
2025-10-13,Montag,EDA,Live-Call-Hausaufgaben,,2025-10-13T10:45:00,2025-10-13T12:00:00,1.25,DSI,,2025-10-13T10:25:04.283670
2025-10-13,Montag,ScrumPO,Selbststudium,,2025-10-13T14:00:00,2025-10-13T15:00:00,1.0,Udemy,,2025-10-13T14:12:19.736964
2025-10-13,Montag,ETL,Theorie-Video,,2025-10-13T16:30:00,2025-10-13T18:15:00,1.75,DSI,,2025-10-13T18:13:49.633664
2025-10-14,Dienstag,ETL,Theorie-Video,,2025-10-14T09:00:00,2025-10-14T12:00:00,3.0,DSI,,2025-10-14T11:30:26.375100
2025-10-14,Dienstag,ETL,Theorie-Video,,2025-10-14T12:00:00,2025-10-14T13:45:00,1.75,DSI,,2025-10-14T13:35:33.017567
2025-10-14,Dienstag,ETL,Theorie-Video,,2025-10-14T15:00:00,2025-10-14T15:30:00,0.5,DSI,,2025-10-14T14:57:38.098381
2025-10-14,Dienstag,ScrumPO,Selbststudium,,2025-10-14T17:00:00,2025-10-14T18:00:00,1.0,Udemy,,2025-10-14T17:57:34.863973
2025-10-15,Mittwoch,ETL,Live-Call-Vorlesung,,2025-10-15T10:15:00,2025-10-15T12:00:00,1.75,DSI,,2025-10-15T12:13:05.776905
2025-10-15,Mittwoch,ScrumPO,Selbststudium,,2025-10-15T15:00:00,2025-10-15T16:00:00,1.0,Udemy,,2025-10-15T16:04:50.852348
2025-10-16,Donnerstag,ScrumPO,Selbststudium,,2025-10-16T10:00:00,2025-10-16T11:15:00,1.25,Udemy,,2025-10-16T11:18:45.925224
2025-10-19,Sonntag,ScrumPO,Selbststudium,,2025-10-19T10:00:00,2025-10-19T11:00:00,1.0,Udemy,,2025-10-19T10:58:22.047984
2025-10-19,Sonntag,ETL,Live-Call-Vorlesung,,2025-10-19T11:00:00,2025-10-19T16:15:00,5.25,DSI,,2025-10-19T20:35:36.491935
2025-10-20,Montag,ScrumPO,Selbststudium,,2025-10-20T11:00:00,2025-10-20T12:00:00,1.0,Udemy,,2025-10-21T12:56:00.082130
2025-10-21,Dienstag,ScrumPO,Selbststudium,,2025-10-21T10:00:00,2025-10-21T13:00:00,3.0,Udemy,,2025-10-21T12:56:19.807950
2025-10-21,Dienstag,ScrumPO,Selbststudium,,2025-10-21T13:30:00,2025-10-21T14:00:00,0.5,Udemy,,2025-10-21T14:16:21.899169
2025-10-22,Mittwoch,ETL,Live-Call-Vorlesung,,2025-10-22T10:15:00,2025-10-22T12:00:00,1.75,DSI,,2025-10-22T11:48:37.041991
2025-10-22,Mittwoch,ETL,Theorie-Video,,2025-10-22T14:00:00,2025-10-22T16:30:00,2.5,DSI,,2025-10-22T16:28:04.837208
2025-10-22,Mittwoch,ScrumPO,Selbststudium,,2025-10-22T17:00:00,2025-10-22T18:00:00,1.0,Udemy,,2025-10-22T18:39:30.828244
2025-10-23,Donnerstag,ScrumPO,Selbststudium,,2025-10-23T09:00:00,2025-10-23T11:00:00,2.0,Udemy,,2025-10-23T11:46:47.111188
